SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20221115|B38564108|EURN|3998|EURONAV NV ANTWERPEN (BELGIUM)|19.09
20221115|D1668R123|MBGAF|300|MERCEDES BENZ GROUP AG COMMON |66.75
20221115|D18190898|DB|3289|DEUTSCHE BANK AG NAMEN AKT (DE|10.47
20221115|F21107101|CSTM|235|CONSTELLIUM SE CL A SHS USD (F|12.28
20221115|G0R45S109|AIB|1418|AIB ACQUISITION CORP USD CL A |10.14
20221115|G0R45S117|AIBBR|3100|AIB ACQUISITION CORP USD RTS|0.10
20221115|G01202103|AGGR|2086|AGILE GROWTH CORP CL A (CYM)|9.99
20221115|G01202111|AGGRW|396|AGILE GROWTH CORP WT EXP (CYM)|0.03
20221115|G01212102|AGBAZZZZ|989620|AGBA GROUP HLDG LTD SHS (VGB) |5.71
20221115|G01212110|AGBAWZZZZ|101235|AGBA GROUP HLDG LTD WT EXP 3/1|0.08
20221115|G0132V105|AGMH|991|AGM GROUP HLDGS INC USD CL A O|1.67
20221115|G0176J109|ALLE|891|ALLEGION PUB LTD CO (IRL)|110.95
20221115|G0230C108|ALSA|409|ALPHA STAR ACQUISITION CORP US|10.17
20221115|G0230C116|ALSAW|173|ALPHA STAR ACQUISITION CORP US|0.02
20221115|G0370U108|ATAQ|4396|ALTIMAR ACQUISITION CORP III C|9.99
20221115|G03959114|ADALW|153|ANTHEMIS DIGITAL ACQUISITIONS |0.10
20221115|G0404A110|ATAWS|1716|AMERICAS TECHNOLOGY ACQUISIT C|0.03
20221115|G041JN106|AEHL|7682|ANTELOPE ENTERPRISE HLDGS LTD |0.51
20221115|G0412A128|APGBWS|64|APOLLO STRATEGIC GROWTH CAP II|0.05
20221115|G0447J128|PONDWS|2379|ANGEL POND HLDGS CORP WT EXP (|0.36
20221115|G0450A105|ACGL|190|ARCH CAPITAL GROUP LTD|56.36
20221115|G04553106|ARCE|5597|ARCO PLATFORM LTD CL A COM (CY|10.13
20221115|G0464B107|ARGO|1474|ARGO GROUP INTERNATIONAL HOLDI|25.37
20221115|G0567U101|ARQQ|416238|ARQIT QUANTUM INC COM (CYM)|8.02
20221115|G0567U119|ARQQW|2400|ARQIT QUANTUM INC WT EXP 11/02|1.25
20221115|G06536117|WAVCWS|4345|WAVERLEY CAP ACQUISITION CORP |0.07
20221115|G06607124|AEACW|1058|AUTHENTIC EQUITY ACQUISITION C|0.01
20221115|G0692U109|AXS|1121|AXIS CAPITAL HOLDINGS LTD|54.50
20221115|G0698L129|AURCW|483|AURORA ACQUISITION CORP WT EXP|0.06
20221115|G0703K116|AXACWS|1126|AXIOS SUSTAINABLE GROWTH ACQUI|0.06
20221115|G0703K124|AXACRT|314|AXIOS SUSTAINABLE GROWTH ACQUI|0.10
20221115|G0750C108|AXTA|1215|AXALTA COATING SYS LTD COM SHS|25.95
20221115|G0888J108|BFAC|23625|BATTERY FUTURE ACQUISITION COR|10.14
20221115|G0888J124|BFACWS|5136|BATTERY FUTURE ACQUISITION COR|0.08
20221115|G1R25Q113|BYTSW|2151|BYTE ACQUISITION CORP RED WT E|0.01
20221115|G10830100|BYSI|11774|BEYONDSPRING INC ORD SHS (CYM)|0.74
20221115|G1117K114|BIOX|9734|BIOCERES CROP SOLUTIONS CORP. |14.00
20221115|G1125A116|BIOTW|475|BIOTECH ACQUISITION CO USD RED|0.03
20221115|G1144A105|BTBT|158703|BIT DIGITAL, INC. ORDINARY SHA|1.14
20221115|G1151C101|ACN|8340|ACCENTURE PLC CL-A ORDINARY SH|288.91
20221115|G11765107|BCSA|385|BLOCKCHAIN COINVESTORS ACQ.COR|10.16
20221115|G1195N113|BOACWS|25|BLUESCAPE OPPORTUNITI ACQUISI |0.14
20221115|G1466B202|BRQS|23|BORQS TECHNOLOGIES INC SHS NEW|0.52
20221115|G1466R173|BORR|4162|BORR DRILLING LTD SHS NEW DEC |5.14
20221115|G16234109|BBU|414|BROOKFIELD BUSINESS PARTNERS L|22.24
20221115|G1624R107|BPYPM|2866|BROOKFIELD PPTY PFD LP UNIT LT|15.43
20221115|G16249149|BPYPP|766|BROOKFIELD PPTY PARTNERS LP PF|16.52
20221115|G16249156|BPYPO|215|BROOKFIELD PPTY PART P|16.14
20221115|G16258108|BEP|97|BROOKFIELD RENEWABLE PARTNERS |29.74
20221115|G1757E113|CMCL|18|CALEDONIA MNG CORP PLC SHS NEW|11.51
20221115|G17977110|BUR|1070|BURFORD CAPITAL LIMITED, ST PE|8.67
20221115|G1890L107|CPRI|44242|CAPRI HLDGS LTD SHS (VGB)|52.05
20221115|G19276123|GLBLU|1665|CARTESIAN GROWTH CORP UNIT 1 C|9.96
20221115|G19550121|CPARW|2360|CATALYST PARTNERS ACQUISITION |0.09
20221115|G2R18K113|CSTAWS|1677|CONSTELLATIONS ACQUISITION COR|0.02
20221115|G2007L105|CZOO|2000|CAZOO GROUP LTD CL A (CYM)|0.35
20221115|G2007L113|CZOOWS|605|CAZOO GROUP LTD WT EXP 08/26/2|0.02
20221115|G2086M107|CHEA|500|CHENGHE ACQUISITION CO CL A(CY|10.23
20221115|G2109M100|CSHEF|200|CHINA ENTERPRISES LTD|.
20221115|G2110U109|CHNR|1837|CHINA NATURAL RESOURCES, INC|0.44
20221115|G2143T103|CMPR|1802|CIMPRESS PLC SHS EURO (IRL)|27.74
20221115|G2161Y109|CLEU|431|CHINA LIBERAL ED HLDGS LTD|1.25
20221115|G21810109|CLVT|34200|CLARIVATE PLC|10.10
20221115|G2284B101|CLAA|311875|COLONNADE ACQUISITION CORP II |9.98
20221115|G2284B119|CLAAWS|314|COLONNADE ACQUISITION CORP II |0.06
20221115|G2311X126|CLRCU|102|CLIMATEROCK 1 CL A F $0.0001 P|10.22
20221115|G23726105|CRRCF|68322|COHN ROBBINS HLDGS CORP CL A (|9.98
20221115|G23773107|CWCO|80|CONSOLIDATED WATER CO., INC.|17.51
20221115|G24237128|CRZNW|160|CORAZON CAP V838 MONOCEROS COR|0.02
20221115|G2426E120|TRONW|1103|CORNER GROWTH ACQUISITION CORP|0.02
20221115|G2476C123|CDAQW|78|COMPASS DIGITAL ACQUISITION CO|0.06
20221115|G2519Y108|BAP|407|CREDICORP LTD (COMM $5.00 PAR)|156.38
20221115|G2540H116|CORSWS|1004|CORSAIR PARTNERING CORP WT EXP|0.09
20221115|G2554Y120|COVAW|110|COVA ACQUISITION CORP WT EXP(C|0.05
20221115|G27029118|DLCAW|652|DEEP LAKE CAP ACQUISITION CORP|.
20221115|G27358103|DESP|912|DESPEGAR.COM CORP ORD SH (VGB)|6.34
20221115|G2773W103|DCRD|1712|DECARBONIZATION PLUS ACQ CORP |10.15
20221115|G2788T103|DOGZ|996|DOGNESS INTL CORP CL A COM (VG|0.90
20221115|G27907107|DOLE|18045|DOLE PLC SHS (IRL)|8.94
20221115|G28315102|DGNU|1221|DRAGONEER GROWTH OPPORTUNITIES|9.85
20221115|G29018101|DLO|4955|DLOCAL LTD COM CL A (CYM)|22.54
20221115|G29183103|ETN|1109|EATON CORP PLC (IRL)|161.65
20221115|G2952X112|EJH|1189|E-HOME HOUSEHOLD SVC HLDGS LTD|0.85
20221115|G2956R103|LAX|83580|8I ACQUISITION 2 CORP.USD ORD |5.29
20221115|G2956R129|LAXXR|2011|8I ACQUISITION 2 CORP.USD RTS |0.51
20221115|G3R19A104|FTEV|105|FINTECH EVOLUTION ACQUISITION |10.01
20221115|G3R23D102|GGAA|10589|GENESIS GROWTH TECH ACQ CORP|10.21
20221115|G3R239101|GAMB|3540|GAMBLING COM GROUP LTD ORD NPV|8.77
20221115|G3R25D100|HTOOW|553|FUSION FUEL GREEN LTD WT EXP|0.90
20221115|G3R34K103|FNVT|1237|FINNOVATE ACQUISITION CORP CL |10.16
20221115|G3R34K111|FNVTW|1225|FINNOVATE ACQUISITION CORP WT |0.05
20221115|G3R95N103|ESAC|3251|ESGEN ACQ.CORP CL A ORD SHS (C|10.22
20221115|G3R95N111|ESACW|1142|ESGEN ACQ.CORP RED WT EXP (CYM|0.09
20221115|G30401106|ENDPQ|142401|ENDO INTL PLC ORD SHS (IRL)|0.10
20221115|G30449105|ENCP|1955|ENERGEM CORP CL A ORD SHS (CYM|10.30
20221115|G3104J100|EEIQ|894|EPICQUEST EDUCATION GROUP INTE|1.65
20221115|G31067112|SCOAW|1430|SCION TECH GROWTH I WT EXP 11/|0.01
20221115|G31070124|SCOBU|25454|SCION TECH GROWTH II UNIT 1 CL|10.02
20221115|G3137C114|ENTFW|325|ENTERPRISE 4.0 TECHNOLOGY ACQ.|0.03
20221115|G3141W122|EUCRW|237|EUCRATES BIOMEDICAL ACQUISITIO|0.06
20221115|G31642104|CLPS|833|CLPS INCORPORATION|1.14
20221115|G31658100|ARYE|24|ARYA SCIENCES ACQUISITION CORP|9.97
20221115|G3167F102|EBAC|24841|EUROPEAN BIOTECH ACQUISITION C|9.99
20221115|G3167F128|EBACW|7152|EUROPEAN BIOTECH ACQUISITION C|0.10
20221115|G3167L117|NFYSWS|1855|ENPHYS ACQUISITION CORP WT EXP|0.10
20221115|G3168A110|DAOOW|4284|CRYPTO 1 ACQUISITION CORP RED |0.03
20221115|G3168A128|DAOOU|29900|CRYPTO 1 ACQ.CORP UT 1 CL A OR|10.10
20221115|G3195H112|ESMWS|287|ESM ACQUISITION CORP WT EXP|0.15
20221115|G32219100|HPX|4219|HPX CORP.CL A|9.98
20221115|G3312W109|EVGR|533|EVERGREEN CORP CL A(CYM)|10.18
20221115|G3312W117|EVGRW|70|EVERGREEN CORP WT EXP(CYM)02/1|0.05
20221115|G3421J106|FERG|442|FERGUSON PLC NEW (JERSEY, C.I.|120.91
20221115|G35947202|FLNG|19108|FLEX LNG LTD SHS NEW|34.84
20221115|G3619H110|FRBNW|466|FORBION EUROPEAN ACQUISITION C|0.10
20221115|G36427113|FCAXU|2599|FORTRESS CAP ACQUISITION|10.04
20221115|G36427121|FCAXWS|1100|FORTRESS CAP ACQUISITION CORP |0.01
20221115|G3663X128|FACTWS|5025|FREEDOM ACQUISITION I CORP|0.19
20221115|G3682E192|FRO|12553|FRONTLINE LTD (BMU)|13.55
20221115|G3704F110|FFHL|1556|FUWEI FILMS HOLDINGS CO LTD SH|7.38
20221115|G3710A113|FLACW|1300|FRAZIER LIFESCIENCES ACQ CORP |0.66
20221115|G3728V109|GAN|2500|GAN LTD SHS|1.67
20221115|G3728Y111|HERAW|202|FTAC HERA ACQUISITION CORP WT |0.03
20221115|G3730V105|FTAI|164310|FTAI FIN HOLDCO LTD SHS|17.62
20221115|G3730V113|FTAIP|1263|FTAI FIN HOLDCO LTD CUM PERP P|22.52
20221115|G3730V121|FTAIO|191|FTAI FIN HOLDCO LTD CUM PERP P|22.00
20221115|G3730V139|FTAIN|221|FTAI FIN HOLDCO LTD CUM PERP P|21.38
20221115|G3731J127|GEEXW|258|GAMES & ESPORTS EXPERIENCE ACQ|0.05
20221115|G3788R105|EMWPF|380|EROS MEDIA WORLD PLC ORD CL A |0.45
20221115|G38537109|GIAC|11|GESHER I ACQUISITION CORP SHS |10.09
20221115|G3855L106|GHRS|2176|GH RESH PLC SHS (IRL)|11.01
20221115|G38644103|GCT|2310|GIGACLOUD TECHNOLOGY INC CL A |6.44
20221115|G3932F106|EPOW|1156|GLOBAL INTERNET OF PEOPLE INC |3.17
20221115|G3934N107|GTAC|3230|GLOBAL TECHNOLOGY ACQUISITION |10.16
20221115|G3934P102|GPAC|1598|GLOBAL PARTNER ACQUISITION COR|10.04
20221115|G3934P128|GPACW|185|GLOBAL PARTNER ACQUISITION COR|0.01
20221115|G39342103|CO|71058|GLOBAL CORD BLOOD CORP SHS (CY|2.99
20221115|G39387108|GFS|144627|GLOBALFOUNDRIES INC SHS (CYM) |65.03
20221115|G39462117|GMVDW|101|G MED INNOVATIONS HLDGS LTD WT|0.03
20221115|G39462208|GMVD|7779|G MED INNOVATIONS HLDGS LTD SH|0.15
20221115|G39637205|GOGL|11081|GOLDEN OCEAN GROUP LTD SHS NEW|9.61
20221115|G3970D120|GBRGW|532|GOLDENBRIDGE ACQUISITION LTD U|0.09
20221115|G39714129|HHLAWS|600|HH&L ACQUISITION CO WT EXP (CY|0.09
20221115|G39973113|GSMGW|5778|GLORY STAR NEW MEDIA GROUP LTD|.
20221115|G4R23P129|HHGCW|169|HHG CAP CORP USD RED WTS 02/25|0.06
20221115|G4R23P145|HHGCR|164|HHG CAP CORP RT 02/25/2026 (VG|0.19
20221115|G4R39N100|IQAIF|25200|IQ AI LTD SHS (JEY)|0.06
20221115|G4040D108|GDBYF|20|GOODBODY HEALTH LTD ORD NPV (G|0.03
20221115|G40705108|GDLC|618|GRAYSCALE DIGITAL LARGE CAP FD|5.48
20221115|G4124C109|GRAB|1858459|GRAB HLDGS LTD CL A ORD (CYM) |2.96
20221115|G42041122|GSQBWS|279|G SQUARED ASCEND II INC WT EXP|0.08
20221115|G4236L120|GFAIW|100|GUARDFORCE AI CO. LTD USD WTS |0.10
20221115|G4365A127|HCMAW|150|HCM ACQUISITION CORP USD RED W|0.04
20221115|G4388N106|HELE|594|HELEN OF TROY LTD-NEW-BERMUDA |97.04
20221115|G4411D109|HSAQ|2999|HEALTH SCIENCES ACQUISITIONS C|9.92
20221115|G4412G101|HLF|8415|HERBALIFE NUTRITION LTD|16.96
20221115|G44525106|PRLH|1252|PEARL HLDGS ACQUISITIONS CORP |10.14
